name,Jaar,Jonger dan 5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder
Loon op Zand,2017,1077,1130,1339,1347,1226,4965,7094,3748,1167
Lopik,2017,693,812,1048,1094,886,3046,4360,1823,446
Loppersum,2017,449,575,585,584,488,1946,3232,1601,454
Losser,2017,941,1188,1404,1386,1069,4579,6923,3933,1059
Maasdriel,2017,1200,1319,1541,1524,1201,5486,7575,3406,998
Maasgouw,2017,851,900,1146,1361,1056,4605,7971,4517,1367
Maassluis,2017,1650,1742,1774,1824,1654,7703,8877,5644,1582
Maastricht,2017,4323,4265,4656,7885,15602,28911,32064,18675,6372
De Marne,2017,456,510,602,555,431,2035,3177,1835,487
Marum,2017,500,537,635,751,554,2232,3312,1450,417
Medemblik,2017,2173,2480,2855,2804,2276,9693,13152,6954,1671
Meerssen,2017,705,834,998,1109,826,3577,6192,3636,1195
Meierijstad,2017,3933,4199,4802,5203,4026,18262,23982,11779,3683
Menameradiel,2017,626,804,900,856,638,2729,4187,2144,570
Menterwolde,2017,507,622,677,752,598,2547,4079,1984,396
Meppel,2017,1605,1981,2107,2083,1579,7960,9456,4714,1540
Middelburg,2017,2383,2601,2806,3114,2661,10880,13356,7613,2605
Midden-Delfland,2017,1015,1103,1222,1379,1104,4008,5859,2459,885
Midden-Drenthe,2017,1439,1630,2090,2178,1517,6590,10583,5646,1726
Mill en Sint Hubert,2017,384,559,641,710,614,2133,3542,1682,542
Moerdijk,2017,1694,2018,2162,2229,1733,8067,11400,5944,1697
Molenwaard,2017,1791,2054,2167,2300,1933,6345,7658,3922,1042
Montferland,2017,1395,1607,2058,2240,1800,6956,11383,6045,1832
Montfoort,2017,774,847,1002,975,780,3040,3918,2062,468
Mook en Middelaar,2017,249,341,486,509,344,1241,2633,1540,432
Neder-Betuwe,2017,1555,1613,1697,1783,1501,5184,6161,2954,855
Nederweert,2017,724,757,909,1057,877,3503,5388,2812,837
Neerijnen,2017,742,738,904,853,622,2720,3667,1659,439
Nieuwegein,2017,3253,3245,3317,3452,3226,15625,18139,9619,1992
Nieuwkoop,2017,1343,1490,1649,1778,1600,5982,8674,4295,1103
Nijkerk,2017,2482,2624,2824,2770,2140,9847,11527,5886,1675
Nijmegen,2017,8301,8040,7745,9957,21703,48541,42880,19991,6398
Nissewaard,2017,4273,4449,4527,5027,4736,20579,26040,12349,3421
Noord-Beveland,2017,305,317,360,370,310,1481,2296,1506,437
Noordenveld,2017,1584,1981,2147,2053,1261,6214,9688,6076,1977
Noordoostpolder,2017,2769,2933,3216,3163,2368,11319,13072,5901,1803
Noordwijk,2017,1117,1352,1378,1424,1329,5956,7844,4252,1215
Noordwijkerhout,2017,747,834,932,1087,816,3724,4845,2583,750
